target	name	probe count	reads hit	reads tested	total size	strains
9417	Insecta_Coleoptera_Chrysomelidae_Stylosomus	19	0	31378	31778	2
9418	Insecta_Coleoptera_Chrysomelidae_Stylosomus_ilicicola	2205	15559	15559	15759	1
9419	Insecta_Coleoptera_Chrysomelidae_Stylosomus_rugithorax	2278	15819	15819	16019	1
9420	Insecta_Coleoptera_Ciidae	0	0	25276	25676	2
9421	Insecta_Coleoptera_Ciidae_Ciidae	1802	12893	12893	13093	1
9422	Insecta_Coleoptera_Ciidae_Orthocis	0	0	12383	12583	1
9423	Insecta_Coleoptera_Ciidae_Orthocis_pygmaeus	1472	12072	12383	12583	1
9424	Insecta_Coleoptera_Cleridae	4	0	32097	32497	2
9425	Insecta_Coleoptera_Cleridae_Hydnocerini	1355	13328	16249	16449	1
9426	Insecta_Coleoptera_Cleridae_Trichodes	0	0	15848	16048	1
9427	Insecta_Coleoptera_Cleridae_Trichodes_sinae	1432	15644	15848	16048	1
9428	Insecta_Coleoptera_Coccinellidae	714	24767	466803	472603	29
9429	Insecta_Coleoptera_Coccinellidae_Adalia	0	0	11995	12195	1
9430	Insecta_Coleoptera_Coccinellidae_Adalia_bipunctata	214	2433	11995	12195	1
9431	Insecta_Coleoptera_Coccinellidae_Anatis	0	0	16893	17093	1
9432	Insecta_Coleoptera_Coccinellidae_Anatis_ocellata	1693	16828	16893	17093	1
9433	Insecta_Coleoptera_Coccinellidae_Anisosticta	0	0	15090	15290	1
9434	Insecta_Coleoptera_Coccinellidae_Anisosticta_novemdecimpunctata	1582	15090	15090	15290	1
9435	Insecta_Coleoptera_Coccinellidae_Calvia	36	0	33602	34002	2
9436	Insecta_Coleoptera_Coccinellidae_Calvia_championorum	1747	17297	17376	17576	1
9437	Insecta_Coleoptera_Coccinellidae_Calvia_decemguttata	1581	15792	16226	16426	1
9438	Insecta_Coleoptera_Coccinellidae_Cheilomenes	0	0	16993	17193	1
9439	Insecta_Coleoptera_Coccinellidae_Cheilomenes_sexmaculata	1944	16993	16993	17193	1
9440	Insecta_Coleoptera_Coccinellidae_Coccinellidae	1675	16432	16432	16632	1
9441	Insecta_Coleoptera_Coccinellidae_Coleomegilla	0	0	33289	33689	2
9442	Insecta_Coleoptera_Coccinellidae_Coleomegilla_maculata	919	23211	33289	33689	2
9443	Insecta_Coleoptera_Coccinellidae_Cryptolaemus	0	0	16811	17011	1
9444	Insecta_Coleoptera_Coccinellidae_Cryptolaemus_montrouzieri	1742	16800	16811	17011	1
9445	Insecta_Coleoptera_Coccinellidae_Cycloneda	19	1034	47547	48147	3
9446	Insecta_Coleoptera_Coccinellidae_Cycloneda_munda	366	3547	14093	14293	1
