target	name	probe count	reads hit	reads tested	total size	strains
1148	Actinopteri_Cypriniformes_Cobitidae_Parabotia_fasciata	716	13347	16391	16591	1
1149	Actinopteri_Cypriniformes_Cobitidae_Paramisgurnus	0	0	16371	16571	1
1150	Actinopteri_Cypriniformes_Cobitidae_Paramisgurnus_dabryanus	530	11835	16371	16571	1
1151	Actinopteri_Cypriniformes_Cobitidae_Sabanejewia	0	0	16383	16583	1
1152	Actinopteri_Cypriniformes_Cobitidae_Sabanejewia_radnensis	2036	16368	16383	16583	1
1153	Actinopteri_Cypriniformes_Cobitidae_Sinibotia	974	4293	65491	66291	4
1154	Actinopteri_Cypriniformes_Cobitidae_Sinibotia_pulchra	1522	15956	16369	16569	1
1155	Actinopteri_Cypriniformes_Cobitidae_Sinibotia_reevesae	755	14168	16373	16573	1
1156	Actinopteri_Cypriniformes_Cobitidae_Sinibotia_robusta	1493	15965	16376	16576	1
1157	Actinopteri_Cypriniformes_Cobitidae_Sinibotia_superciliaris	770	14238	16373	16573	1
1158	Actinopteri_Cypriniformes_Cobitidae_Syncrossus	39	65	32682	33082	2
1159	Actinopteri_Cypriniformes_Cobitidae_Syncrossus_beauforti	1699	16315	16368	16568	1
1160	Actinopteri_Cypriniformes_Cobitidae_Syncrossus_hymenophysa	1661	16145	16314	16514	1
1161	Actinopteri_Cypriniformes_Cobitidae_Yasuhikotakia	81	421	32757	33157	2
1162	Actinopteri_Cypriniformes_Cobitidae_Yasuhikotakia_modesta	1728	16122	16389	16589	1
1163	Actinopteri_Cypriniformes_Cobitidae_Yasuhikotakia_morleti	1748	16081	16368	16568	1
1164	Actinopteri_Cypriniformes_Cyprinidae	80000	1082507	9406029	9520429	572
1165	Actinopteri_Cypriniformes_Cyprinidae_Abbottina	3	259	32798	33198	2
1166	Actinopteri_Cypriniformes_Cyprinidae_Abbottina_obtusirostris	1474	15427	16400	16600	1
1167	Actinopteri_Cypriniformes_Cyprinidae_Abbottina_rivularis	1876	15963	16398	16598	1
1168	Actinopteri_Cypriniformes_Cyprinidae_Abramis	0	0	16408	16608	1
1169	Actinopteri_Cypriniformes_Cyprinidae_Abramis_brama	1078	14805	16408	16608	1
1170	Actinopteri_Cypriniformes_Cyprinidae_Acanthobrama	0	0	16414	16614	1
1171	Actinopteri_Cypriniformes_Cyprinidae_Acanthobrama_persidis	1297	15158	16414	16614	1
1172	Actinopteri_Cypriniformes_Cyprinidae_Acanthorhodeus	3	102	33364	33764	2
1173	Actinopteri_Cypriniformes_Cyprinidae_Acanthorhodeus_chankaensis	889	13483	16575	16775	1
1174	Actinopteri_Cypriniformes_Cyprinidae_Acanthorhodeus_gracilis	478	11461	16789	16989	1
1175	Actinopteri_Cypriniformes_Cyprinidae_Acheilognathus	202	1995	165278	167278	10
1176	Actinopteri_Cypriniformes_Cyprinidae_Acheilognathus_barbatus	1438	12737	16571	16771	1
1177	Actinopteri_Cypriniformes_Cyprinidae_Acheilognathus_intermedia	1421	16030	16411	16611	1
1178	Actinopteri_Cypriniformes_Cyprinidae_Acheilognathus_macropterus	725	10271	16575	16775	1
1179	Actinopteri_Cypriniformes_Cyprinidae_Acheilognathus_majusculus	1928	16802	16956	17156	1
1180	Actinopteri_Cypriniformes_Cyprinidae_Acheilognathus_meridianus	1860	16232	16364	16564	1
1181	Actinopteri_Cypriniformes_Cyprinidae_Acheilognathus_rhombeus	469	11320	16581	16781	1
1182	Actinopteri_Cypriniformes_Cyprinidae_Acheilognathus_signifer	803	14032	16367	16567	1
1183	Actinopteri_Cypriniformes_Cyprinidae_Acheilognathus_somjinensis	1134	14656	16370	16570	1
1184	Actinopteri_Cypriniformes_Cyprinidae_Acheilognathus_typus	1980	16395	16579	16779	1
1185	Actinopteri_Cypriniformes_Cyprinidae_Acheilognathus_yamatsutae	1403	12868	16504	16704	1
1186	Actinopteri_Cypriniformes_Cyprinidae_Acrocheilus	0	0	16393	16593	1
1187	Actinopteri_Cypriniformes_Cyprinidae_Acrocheilus_alutaceus	1216	15188	16393	16593	1
1188	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus	3907	23067	246168	249168	15
1189	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_barbodon	711	13519	16397	16597	1
1190	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_beijiangensis	916	15185	16401	16601	1
1191	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_fasciatus	1083	15428	16390	16590	1
1192	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_hemispinus	771	14614	16391	16591	1
1193	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_iridescens	825	14871	16397	16597	1
1194	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_jishouensis	1179	15345	16388	16588	1
1195	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_kreyenbergii	1088	13190	16650	16850	1
1196	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_monticola	1133	15410	16400	16600	1
1197	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_paradoxus	1735	14618	16398	16598	1
1198	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_parallens	834	14329	16393	16593	1
1199	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_spinifer	458	12619	16392	16592	1
1200	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_stenotaeniatus	509	13150	16395	16595	1
1201	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_wenchowensis	1041	15035	16392	16592	1
1202	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_wuyiensis	1234	15368	16395	16595	1
1203	Actinopteri_Cypriniformes_Cyprinidae_Acrossocheilus_yunnanensis	1226	15133	16389	16589	1
1204	Actinopteri_Cypriniformes_Cyprinidae_Akrokolioplax	0	0	16511	16711	1
1205	Actinopteri_Cypriniformes_Cyprinidae_Akrokolioplax_bicornis	1265	15717	16511	16711	1
1206	Actinopteri_Cypriniformes_Cyprinidae_Albulichthys	0	0	16393	16593	1
1207	Actinopteri_Cypriniformes_Cyprinidae_Albulichthys_albuloides	1432	16275	16393	16593	1
1208	Actinopteri_Cypriniformes_Cyprinidae_Alburnus	1164	10628	65627	66427	4
1209	Actinopteri_Cypriniformes_Cyprinidae_Alburnus_alburnus	1349	15246	16406	16606	1
1210	Actinopteri_Cypriniformes_Cyprinidae_Alburnus_istanbulensis	1008	13427	16413	16613	1
1211	Actinopteri_Cypriniformes_Cyprinidae_Alburnus_mossulensis	644	12737	16405	16605	1
1212	Actinopteri_Cypriniformes_Cyprinidae_Alburnus_tarichi	456	10267	16403	16603	1
1213	Actinopteri_Cypriniformes_Cyprinidae_Algansea	0	0	16520	16720	1
1214	Actinopteri_Cypriniformes_Cyprinidae_Algansea_lacustris	1700	16191	16520	16720	1
1215	Actinopteri_Cypriniformes_Cyprinidae_Amblyrhynchichthys	0	0	16401	16601	1
1216	Actinopteri_Cypriniformes_Cyprinidae_Amblyrhynchichthys_truncatus	1211	15981	16401	16601	1
1217	Actinopteri_Cypriniformes_Cyprinidae_Ancherythroculter	18	235	49263	49863	3
1218	Actinopteri_Cypriniformes_Cyprinidae_Ancherythroculter_kurematsui	619	12983	16422	16622	1
1219	Actinopteri_Cypriniformes_Cyprinidae_Ancherythroculter_lini	885	14508	16417	16617	1
1220	Actinopteri_Cypriniformes_Cyprinidae_Ancherythroculter_nigrocauda	60	2749	16424	16624	1
1221	Actinopteri_Cypriniformes_Cyprinidae_Anematichthys	0	0	16387	16587	1
1222	Actinopteri_Cypriniformes_Cyprinidae_Anematichthys_apogon	1011	15751	16387	16587	1
1223	Actinopteri_Cypriniformes_Cyprinidae_Aphyocypris	545	3544	32809	33209	2
1224	Actinopteri_Cypriniformes_Cyprinidae_Aphyocypris_chinensis	969	14299	16407	16607	1
1225	Actinopteri_Cypriniformes_Cyprinidae_Aphyocypris_kikuchii	1063	14250	16402	16602	1
1226	Actinopteri_Cypriniformes_Cyprinidae_Aspiolucius	0	0	16408	16608	1
1227	Actinopteri_Cypriniformes_Cyprinidae_Aspiolucius_esocinus	1510	15728	16408	16608	1
1228	Actinopteri_Cypriniformes_Cyprinidae_Aspiorhynchus	0	0	16392	16592	1
1229	Actinopteri_Cypriniformes_Cyprinidae_Aspiorhynchus_laticeps	103	4004	16392	16592	1
1230	Actinopteri_Cypriniformes_Cyprinidae_Aulopyge	0	0	16394	16594	1
1231	Actinopteri_Cypriniformes_Cyprinidae_Aulopyge_huegelii	1285	15731	16394	16594	1
1232	Actinopteri_Cypriniformes_Cyprinidae_Balantiocheilos	0	0	16324	16524	1
1233	Actinopteri_Cypriniformes_Cyprinidae_Balantiocheilos_melanopterus	1667	16262	16324	16524	1
1234	Actinopteri_Cypriniformes_Cyprinidae_Bangana	0	0	32752	33152	2
1235	Actinopteri_Cypriniformes_Cyprinidae_Bangana_decora	418	8431	16408	16608	1
1236	Actinopteri_Cypriniformes_Cyprinidae_Bangana_tungting	939	14245	16344	16544	1
1237	Actinopteri_Cypriniformes_Cyprinidae_Barbodes	46	0	49124	49724	3
1238	Actinopteri_Cypriniformes_Cyprinidae_Barbodes_aurotaeniatus	1660	16348	16363	16563	1
1239	Actinopteri_Cypriniformes_Cyprinidae_Barbodes_binotatus	1547	15906	16374	16574	1
1240	Actinopteri_Cypriniformes_Cyprinidae_Barbodes_lateristriga	1474	16321	16387	16587	1
1241	Actinopteri_Cypriniformes_Cyprinidae_Barboides	0	0	16367	16567	1
1242	Actinopteri_Cypriniformes_Cyprinidae_Barboides_gracilis	1782	16259	16367	16567	1
1243	Actinopteri_Cypriniformes_Cyprinidae_Barbonymus	36	36	49147	49747	3
1244	Actinopteri_Cypriniformes_Cyprinidae_Barbonymus_altus	1187	15472	16389	16589	1
1245	Actinopteri_Cypriniformes_Cyprinidae_Barbonymus_gonionotus	1338	16042	16381	16581	1
1246	Actinopteri_Cypriniformes_Cyprinidae_Barbonymus_schwanefeldii	1112	15806	16377	16577	1
1247	Actinopteri_Cypriniformes_Cyprinidae_Barbus	0	0	16401	16601	1
1248	Actinopteri_Cypriniformes_Cyprinidae_Barbus_barbus	1346	15903	16401	16601	1
1249	Actinopteri_Cypriniformes_Cyprinidae_Barilius	0	0	16330	16530	1
1250	Actinopteri_Cypriniformes_Cyprinidae_Barilius_bendelisis	2327	16330	16330	16530	1
1251	Actinopteri_Cypriniformes_Cyprinidae_Belligobio	0	0	16411	16611	1
1252	Actinopteri_Cypriniformes_Cyprinidae_Belligobio_nummifer	779	13924	16411	16611	1
1253	Actinopteri_Cypriniformes_Cyprinidae_Biwia	7	137	32807	33207	2
1254	Actinopteri_Cypriniformes_Cyprinidae_Biwia_springeri	1088	14394	16407	16607	1
1255	Actinopteri_Cypriniformes_Cyprinidae_Biwia_zezera	1427	15267	16400	16600	1
1256	Actinopteri_Cypriniformes_Cyprinidae_Blicca	0	0	16406	16606	1
1257	Actinopteri_Cypriniformes_Cyprinidae_Blicca_bjoerkna	864	13904	16406	16606	1
